timestamp,question,answers/0/text,answers/0/correct,answers/0/choice,answers/1/text,answers/1/correct,answers/2/text,answers/2/correct,answers/3/text,answers/3/correct
2018-02-03 02:08:20,Which popular root beer brand typically contains caffeine?,Barq's,true,A,A&amp,W,B,Mug,3,
2018-02-18 02:11:39,The longest-serving senator currently in office has been re-elected how many times?,Seven times,true,A,Four times,false,Nine times,false,,false
2018-02-02 20:04:25,What did Yankee Doodle stick in his cap?,Feather,true,A,Noodle soup,false,Duck,false,,
2018-02-02 20:05:13,What word completes the phrase: “Everything but the kitchen”?,Sink,true,A,Kaleidoscope,false,Hogwash,false,,
2018-02-02 20:06:34,"Traditionally, an “amuse-bouche” arrives right before what part of the meal?",Appetizers,true,A,Entrée,false,Dessert,false,,
2018-02-02 20:07:52,"In the game of Candy Land, which player goes first?",The youngest,true,A,Blue token holder,false,First to draw a red card,false,,
2018-02-02 20:12:04,Who is credited with coining the phrase: “For whom the bell tolls”?,John Donne,true,A,William Shakespeare,false,Ernest Hemingway,false,,
2018-02-03 02:07:17,Which of these famous fictional animals is a ruminant?,Bambi,true,A,Mister Ed,false,Eeyore,false,,
2018-02-03 02:09:06,Which of these elements would earn you the highest score in Scrabble?,Oxygen,true,A,Xenon,false,Zinc,false,,
2018-02-03 02:11:33,"In 1973, Arabella and Anita became the first members of what species to go into space?",Spider,true,A,Fruit fly,false,Ladybug,false,,
2018-02-03 02:14:18,Which of these Summer Olympics events uses the longest playing surface?,Fencing,true,A,Badminton,false,Taekwondo,false,,
2018-02-04 02:04:22,The college degree “B.A.” is short for what?,Bachelor of Arts,true,A,Booyah Awesome,false,Beefy Arms,false,,
2018-02-04 02:07:27,Which of the original Monopoly game pieces was retired last year?,Thimble,true,A,Race car,false,Top hat,false,,
2018-02-04 02:09:03,Which food is traditionally a main ingredient in mock turtle soup?,Calf brains,true,A,Tortoise meat,false,Snails,false,,
2018-02-04 02:12:20,Which type of animal has been kept as a White House pet by a U.S. president?,Cow,true,A,Lemur,false,Sugar glider,false,,
